Zugstrecke;Teilzugname;Ist-Abfahrt;Ist-Ankunft;Ist-Abfahrt gerundet;Ist-Ankunft gerundet;Ist-Abfahrt abgerundet;Ist-Ankunft aufgerundet;Haltezeiten;v;vReal;vMax;vMaxZugsicherung;vMaxStrecke;vMaxBrH;Zustand;DynStatus;Infrastrukturelement;Referenzelemente;Betriebsstelle;Betriebsstelle Langname;Relative Abfahrtzeit;Soll-Abfahrt;VMaxZug;Zuschlag;Regelzuschlag;SonderZuschlag;BauZuschlag;Laenge;Masse;Zugbeeinflussung;Steigend;Entfernt;Verschoben;Besonderheit;Bogen;Neigung;Tunnelquerschnitt;Fahrweg;a;Zugkraft;WFZ;WTFZ;WStrecke;Gesamtzuschlag;Verspätungszuschlag;Zuschlagabbau;Triebfahrzeuge;Wagenanzahl;Zugfamilienname;Streckennummer;Gleis;Wirkt;Einzelzugname;ATO;Ist-Ankunft ohne Tag;Ist-Abfahrt ohne Tag;Haltezeit;Mindesthaltezeit;No-Stopping Zone;ETCS-Kurve für Belegung;Zwischenweichenabschnitt;Ist-Abfahrt in Sekunden;Ist-Ankunft in Sekunden
0;PZB steigend;0/00:28:18;0/00:28:18;00:28;00:28;00:28;00:28;-;100,00;97,09;140,00;120,00;140,00;-;K;-;S1 0.000 3521-0 Gleisende; Ref(6765)=<DB1|6,765/+0|HS|01A|0>  Anfang(6765)=<DB1|6,765/+0|HS|01A|0>  Ende(6965)=<DB1|6,965/+0|ZSS||0> ;S1;Strecke 1;0/00:00:00;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;True;False;0;-; 0,0; 0,0; 0,0;S1: null - Strecke 1 - VDV 1;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB steigend;3521;;True;PZB steigend;False;00:28:18;00:28:18;-;-;False;-;Gleisende 3521-0 - Betriebsstellengrenze 3521-0 (3521);1698;1698
0;PZB steigend;0/00:28:18;0/00:28:18;00:28;00:28;00:28;00:28;-;100,00;97,09;140,00;120,00;140,00;-;K;-;S1 0.000  ZB-Anfang, Steigend, PZB;;S1;Strecke 1;0/00:00:00;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;True;False;0;-; 0,0; 0,0; 0,0;S1: null - Strecke 1 - VDV 1;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB steigend;3521;;True;PZB steigend;False;00:28:18;00:28:18;-;-;False;-;Gleisende 3521-0 - Betriebsstellengrenze 3521-0 (3521);1698;1698
0;PZB steigend;0/00:28:18;0/00:28:18;00:28;00:28;00:28;00:28;-;100,00;97,09;100,00;120,00;100,00;-;K;-;S1 0.000  Geschwindigkeit Zulässig, Steigend, v=100km/h, Wirkung ab hier, Alle;;S1;Strecke 1;0/00:00:00;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;True;False;0;-; 0,0; 0,0; 0,0;S1: null - Strecke 1 - VDV 1;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB steigend;3521;;True;PZB steigend;False;00:28:18;00:28:18;-;-;False;-;Gleisende 3521-0 - Betriebsstellengrenze 3521-0 (3521);1698;1698
0;PZB steigend;0/00:28:18;0/00:28:18;00:28;00:28;00:28;00:28;-;100,00;97,09;100,00;120,00;100,00;-;K;-;S1 -485.000 2000Hz Punktbeeinflussung, Steigend, Konventionell, kennung=2000; Ref(6765)=<DB1|6,765/+0|HS|01A|0> ;S1;Strecke 1;0/00:00:00;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;True;False;0;-; 0,0; 0,0; 0,0;S1: null - Strecke 1 - VDV 1;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB steigend;3521;;False;PZB steigend;False;00:28:18;00:28:18;-;-;False;-;Gleisende 3521-0 - Betriebsstellengrenze 3521-0 (3521);1698;1698
0;PZB steigend;0/00:28:18;0/00:28:18;00:28;00:28;00:28;00:28;-;100,00;97,09;100,00;120,00;100,00;-;K;-;S1 0.000  Bremsweg, Steigend, l=1000m;;S1;Strecke 1;0/00:00:00;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;True;False;0;-; 0,0; 0,0; 0,0;S1: null - Strecke 1 - VDV 1;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB steigend;3521;;True;PZB steigend;False;00:28:18;00:28:18;-;-;False;-;Gleisende 3521-0 - Betriebsstellengrenze 3521-0 (3521);1698;1698
2750;PZB steigend;0/00:30:00;0/00:30:00;00:30;00:30;00:30;00:30;-;100,00;97,09;100,00;-;100,00;-;K;-;S1 2.750 Streckengleis Fahrzeitmesspunkt, Beide Richtungen, BS-Mitte;;S1;Strecke 1;0/00:01:39;00:30:00;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;True;False;0;-; 0,0; 0,0; 0,0;S1: null - Strecke 1 - VDV 1;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB steigend;3521;;True;PZB steigend;False;00:30:00;00:30:00;-;-;False;-;Gleisende 3521-0 - Betriebsstellengrenze 3521-0 (3521);1800;1800
5500;PZB steigend;0/00:31:41;0/00:31:41;00:32;00:32;00:32;00:32;-;100,00;97,09;100,00;-;100,00;-;K;-;S1 5.500 3521-0 Betriebsstellengrenze, =>DB1 3521-0, Gleis 0;;S1;Strecke 1;0/00:03:18;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;True;False;0;-; 0,0; 0,0; 0,0;S1: null - Strecke 1 - VDV 1;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB steigend;3521;0;True;PZB steigend;False;00:31:41;00:31:41;-;-;False;-;Gleisende 3521-0 - Betriebsstellengrenze 3521-0 (3521);1901;1901
5500;PZB steigend;0/00:31:41;0/00:31:41;00:32;00:32;00:32;00:32;-;100,00;97,09;100,00;-;100,00;-;K;-;DB1 5.500 3521-0 Betriebsstellengrenze, =>S1 3521-0, Gleis 0;;DB1;DB 1;0/00:03:18;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;True;False;0;-; 0,0; 0,0; 0,0;DB1: Strecke 1 - Gleis 1 - Strecke 2;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB steigend;3521;0;True;PZB steigend;False;00:31:41;00:31:41;-;-;False;-;Betriebsstellengrenze 3521-0 - Weiche 01W1 A (3521);1901;1901
5765;PZB steigend;0/00:31:51;0/00:31:51;00:32;00:32;00:32;00:32;-;100,00;97,09;100,00;-;100,00;-;K;-;DB1 5.765 01Va Vorsignal, Steigend, Fb=9s, KS-Signal; Ref(6765)=<DB1|6,765/+0|HS|01A|0>  Anfang(5765)=<DB1|5,765/+0|VS|01Va|0> ;DB1;DB 1;0/00:03:27;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;True;False;0;-; 0,0; 0,0; 0,0;DB1: Strecke 1 - Gleis 1 - Strecke 2;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB steigend;3521;;True;PZB steigend;False;00:31:51;00:31:51;-;-;False;-;Betriebsstellengrenze 3521-0 - Weiche 01W1 A (3521);1911;1911
5790;PZB steigend;0/00:31:52;0/00:31:52;00:32;00:32;00:32;00:32;-;100,00;97,09;100,00;-;100,00;-;K;-;Zugsicherungs-Stützstelle;;DB1;DB 1;0/00:03:28;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;True;False;0;-; 0,0; 0,0; 0,0;DB1: Strecke 1 - Gleis 1 - Strecke 2;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB steigend;;;False;PZB steigend;False;00:31:52;00:31:52;-;-;False;-;-;1912;1912
