Zugstrecke;Teilzugname;Ist-Abfahrt;Ist-Ankunft;Ist-Abfahrt gerundet;Ist-Ankunft gerundet;Ist-Abfahrt abgerundet;Ist-Ankunft aufgerundet;Haltezeiten;v;vReal;vMax;vMaxZugsicherung;vMaxStrecke;vMaxBrH;Zustand;DynStatus;Infrastrukturelement;Referenzelemente;Betriebsstelle;Betriebsstelle Langname;Relative Abfahrtzeit;Soll-Abfahrt;VMaxZug;Zuschlag;Regelzuschlag;SonderZuschlag;BauZuschlag;Laenge;Masse;Zugbeeinflussung;Steigend;Entfernt;Verschoben;Besonderheit;Bogen;Neigung;Tunnelquerschnitt;Fahrweg;a;Zugkraft;WFZ;WTFZ;WStrecke;Gesamtzuschlag;Verspätungszuschlag;Zuschlagabbau;Triebfahrzeuge;Wagenanzahl;Zugfamilienname;Streckennummer;Gleis;Wirkt;Einzelzugname;ATO;Ist-Ankunft ohne Tag;Ist-Abfahrt ohne Tag;Haltezeit;Mindesthaltezeit;No-Stopping Zone;ETCS-Kurve für Belegung;Zwischenweichenabschnitt;Ist-Abfahrt in Sekunden;Ist-Ankunft in Sekunden
0;ETCS steigend;0/00:28:18;0/00:28:18;00:28;00:28;00:28;00:28;-;100,00;97,09;100,00;-;100,00;-;K;-;S1 0.000 3521-0 Gleisende; Ref(6765)=<DB1|6,765/+0|HS|01A|0>  Anfang(6765)=<DB1|6,765/+0|HS|01A|0>  Ende(6965)=<DB1|6,965/+0|ZSS||0> ;S1;Strecke 1;0/00:00:00;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;S1: null - Strecke 1 - VDV 1;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS steigend;3521;;True;ETCS steigend;False;00:28:18;00:28:18;-;-;False;-;Gleisende 3521-0 - Betriebsstellengrenze 3521-0 (3521);1698;1698
0;ETCS steigend;0/00:28:18;0/00:28:18;00:28;00:28;00:28;00:28;-;100,00;97,09;100,00;-;100,00;-;K;-;S1 0.000  ZB-Anfang, Steigend, ETCS1( DB Netz AG SRS 3.6.0  <ETCS 1 (FS) | ETCS 2>);;S1;Strecke 1;0/00:00:00;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;S1: null - Strecke 1 - VDV 1;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS steigend;3521;;True;ETCS steigend;False;00:28:18;00:28:18;-;-;False;-;Gleisende 3521-0 - Betriebsstellengrenze 3521-0 (3521);1698;1698
0;ETCS steigend;0/00:28:18;0/00:28:18;00:28;00:28;00:28;00:28;-;100,00;97,09;100,00;-;100,00;-;K;-;S1 0.000  Geschwindigkeit Zulässig, Steigend, v=100km/h, Wirkung ab hier, Alle;;S1;Strecke 1;0/00:00:00;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;S1: null - Strecke 1 - VDV 1;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS steigend;3521;;True;ETCS steigend;False;00:28:18;00:28:18;-;-;False;-;Gleisende 3521-0 - Betriebsstellengrenze 3521-0 (3521);1698;1698
0;ETCS steigend;0/00:28:18;0/00:28:18;00:28;00:28;00:28;00:28;-;100,00;97,09;100,00;-;100,00;-;K;-;S1 0.000  Bremsweg, Steigend, l=1000m;;S1;Strecke 1;0/00:00:00;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;S1: null - Strecke 1 - VDV 1;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS steigend;3521;;True;ETCS steigend;False;00:28:18;00:28:18;-;-;False;-;Gleisende 3521-0 - Betriebsstellengrenze 3521-0 (3521);1698;1698
25;ETCS steigend;0/00:28:18;0/00:28:18;00:28;00:28;00:28;00:28;-;100,00;97,09;100,00;-;100,00;-;K;-;ETCS-Stützstelle;;S1;Strecke 1;0/00:00:00;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;S1: null - Strecke 1 - VDV 1;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS steigend;;;False;ETCS steigend;False;00:28:18;00:28:18;-;-;False;-;-;1698;1698
50;ETCS steigend;0/00:28:19;0/00:28:19;00:28;00:28;00:28;00:28;-;100,00;97,09;100,00;-;100,00;-;K;-;ETCS-Stützstelle;;S1;Strecke 1;0/00:00:01;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;S1: null - Strecke 1 - VDV 1;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS steigend;;;False;ETCS steigend;False;00:28:19;00:28:19;-;-;False;-;-;1699;1699
75;ETCS steigend;0/00:28:20;0/00:28:20;00:28;00:28;00:28;00:28;-;100,00;97,09;100,00;-;100,00;-;K;-;ETCS-Stützstelle;;S1;Strecke 1;0/00:00:02;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;S1: null - Strecke 1 - VDV 1;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS steigend;;;False;ETCS steigend;False;00:28:20;00:28:20;-;-;False;-;-;1700;1700
100;ETCS steigend;0/00:28:21;0/00:28:21;00:28;00:28;00:28;00:28;-;100,00;97,09;100,00;-;100,00;-;K;-;ETCS-Stützstelle;;S1;Strecke 1;0/00:00:03;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;S1: null - Strecke 1 - VDV 1;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS steigend;;;False;ETCS steigend;False;00:28:21;00:28:21;-;-;False;-;-;1701;1701
125;ETCS steigend;0/00:28:22;0/00:28:22;00:28;00:28;00:28;00:28;-;100,00;97,09;100,00;-;100,00;-;K;-;ETCS-Stützstelle;;S1;Strecke 1;0/00:00:04;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;S1: null - Strecke 1 - VDV 1;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS steigend;;;False;ETCS steigend;False;00:28:22;00:28:22;-;-;False;-;-;1702;1702
150;ETCS steigend;0/00:28:23;0/00:28:23;00:28;00:28;00:28;00:28;-;100,00;97,09;100,00;-;100,00;-;K;-;ETCS-Stützstelle;;S1;Strecke 1;0/00:00:05;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;S1: null - Strecke 1 - VDV 1;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS steigend;;;False;ETCS steigend;False;00:28:23;00:28:23;-;-;False;-;-;1703;1703
