Zugstrecke;Teilzugname;Ist-Abfahrt;Ist-Ankunft;Ist-Abfahrt gerundet;Ist-Ankunft gerundet;Ist-Abfahrt abgerundet;Ist-Ankunft aufgerundet;Haltezeiten;v;vReal;vMax;vMaxZugsicherung;vMaxStrecke;vMaxBrH;Zustand;DynStatus;Infrastrukturelement;Referenzelemente;Betriebsstelle;Betriebsstelle Langname;Relative Abfahrtzeit;Soll-Abfahrt;VMaxZug;Zuschlag;Regelzuschlag;SonderZuschlag;BauZuschlag;Laenge;Masse;Zugbeeinflussung;Steigend;Entfernt;Verschoben;Besonderheit;Bogen;Neigung;Tunnelquerschnitt;Fahrweg;a;Zugkraft;WFZ;WTFZ;WStrecke;Gesamtzuschlag;Verspätungszuschlag;Zuschlagabbau;Triebfahrzeuge;Wagenanzahl;Zugfamilienname;Streckennummer;Gleis;Wirkt;Einzelzugname;ATO;Ist-Ankunft ohne Tag;Ist-Abfahrt ohne Tag;Haltezeit;Mindesthaltezeit;No-Stopping Zone;ETCS-Kurve für Belegung;Zwischenweichenabschnitt;Ist-Abfahrt in Sekunden;Ist-Ankunft in Sekunden
0;ETCS fallend;0/00:28:18;0/00:28:18;00:28;00:28;00:28;00:28;-;100,00;97,09;100,00;-;100,00;-;K;-;S3 30.000 3521-0 Gleisende; Ref(7025)=<DB2|22,975/+0|HS|02F|1>  Anfang(7025)=<DB2|22,975/+0|HS|02F|1>  Ende(7095)=<DB2|22,905/+0|ZSS||1> ;S3;Strecke 3;0/00:00:00;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS fallend;3521;;True;ETCS fallend;False;00:28:18;00:28:18;-;-;False;-;Betriebsstellengrenze 3521-0 - Gleisende 3521-0 (3521);1698;1698
0;ETCS fallend;0/00:28:18;0/00:28:18;00:28;00:28;00:28;00:28;-;100,00;97,09;100,00;-;100,00;-;K;-;S3 30.000  ZB-Anfang, Fallend, ETCS1( DB Netz AG SRS 3.6.0  <ETCS 1 (FS) | ETCS 2>);;S3;Strecke 3;0/00:00:00;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS fallend;3521;;True;ETCS fallend;False;00:28:18;00:28:18;-;-;False;-;Betriebsstellengrenze 3521-0 - Gleisende 3521-0 (3521);1698;1698
0;ETCS fallend;0/00:28:18;0/00:28:18;00:28;00:28;00:28;00:28;-;100,00;97,09;100,00;-;100,00;-;K;-;S3 30.000  Geschwindigkeit Zulässig, Fallend, v=100km/h, Wirkung ab hier, Alle;;S3;Strecke 3;0/00:00:00;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS fallend;3521;;True;ETCS fallend;False;00:28:18;00:28:18;-;-;False;-;Betriebsstellengrenze 3521-0 - Gleisende 3521-0 (3521);1698;1698
25;ETCS fallend;0/00:28:18;0/00:28:18;00:28;00:28;00:28;00:28;-;100,00;97,09;100,00;-;100,00;-;K;-;ETCS-Stützstelle;;S3;Strecke 3;0/00:00:00;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS fallend;;;False;ETCS fallend;False;00:28:18;00:28:18;-;-;False;-;-;1698;1698
50;ETCS fallend;0/00:28:19;0/00:28:19;00:28;00:28;00:28;00:28;-;100,00;97,09;100,00;-;100,00;-;K;-;ETCS-Stützstelle;;S3;Strecke 3;0/00:00:01;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS fallend;;;False;ETCS fallend;False;00:28:19;00:28:19;-;-;False;-;-;1699;1699
75;ETCS fallend;0/00:28:20;0/00:28:20;00:28;00:28;00:28;00:28;-;100,00;97,09;100,00;-;100,00;-;K;-;ETCS-Stützstelle;;S3;Strecke 3;0/00:00:02;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS fallend;;;False;ETCS fallend;False;00:28:20;00:28:20;-;-;False;-;-;1700;1700
100;ETCS fallend;0/00:28:21;0/00:28:21;00:28;00:28;00:28;00:28;-;100,00;97,09;100,00;-;100,00;-;K;-;ETCS-Stützstelle;;S3;Strecke 3;0/00:00:03;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS fallend;;;False;ETCS fallend;False;00:28:21;00:28:21;-;-;False;-;-;1701;1701
125;ETCS fallend;0/00:28:22;0/00:28:22;00:28;00:28;00:28;00:28;-;100,00;97,09;100,00;-;100,00;-;K;-;ETCS-Stützstelle;;S3;Strecke 3;0/00:00:04;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS fallend;;;False;ETCS fallend;False;00:28:22;00:28:22;-;-;False;-;-;1702;1702
150;ETCS fallend;0/00:28:23;0/00:28:23;00:28;00:28;00:28;00:28;-;100,00;97,09;100,00;-;100,00;-;K;-;ETCS-Stützstelle;;S3;Strecke 3;0/00:00:05;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS fallend;;;False;ETCS fallend;False;00:28:23;00:28:23;-;-;False;-;-;1703;1703
175;ETCS fallend;0/00:28:24;0/00:28:24;00:28;00:28;00:28;00:28;-;100,00;97,09;100,00;-;100,00;-;K;-;ETCS-Stützstelle;;S3;Strecke 3;0/00:00:06;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;31642,0;  0,0;6227,3;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS fallend;;;False;ETCS fallend;False;00:28:24;00:28:24;-;-;False;-;-;1704;1704
