Zugstrecke;Teilzugname;Ist-Abfahrt;Ist-Ankunft;Ist-Abfahrt gerundet;Ist-Ankunft gerundet;Ist-Abfahrt abgerundet;Ist-Ankunft aufgerundet;Haltezeiten;v;vReal;vMax;vMaxZugsicherung;vMaxStrecke;vMaxBrH;Zustand;DynStatus;Infrastrukturelement;Referenzelemente;Betriebsstelle;Betriebsstelle Langname;Relative Abfahrtzeit;Soll-Abfahrt;VMaxZug;Zuschlag;Regelzuschlag;SonderZuschlag;BauZuschlag;Laenge;Masse;Zugbeeinflussung;Steigend;Entfernt;Verschoben;Besonderheit;Bogen;Neigung;Tunnelquerschnitt;Fahrweg;a;Zugkraft;WFZ;WTFZ;WStrecke;Gesamtzuschlag;Verspätungszuschlag;Zuschlagabbau;Triebfahrzeuge;Wagenanzahl;Zugfamilienname;Streckennummer;Gleis;Wirkt;Einzelzugname;ATO;Ist-Ankunft ohne Tag;Ist-Abfahrt ohne Tag;Haltezeit;Mindesthaltezeit;No-Stopping Zone;ETCS-Kurve für Belegung;Zwischenweichenabschnitt;Ist-Abfahrt in Sekunden;Ist-Ankunft in Sekunden
0;PZB fallend;0/00:27:52;0/00:27:52;00:28;00:28;00:28;00:28;-;80,00;77,67;140,00;-;140,00;155,00;K;-;S3 30.000 3521-0 Gleisende; Ref(7065)=<VDV2|22,935/+0|HS|02F|1>  Anfang(7065)=<VDV2|22,935/+0|HS|02F|1>  Ende(7115)=<VDV2|22,885/+0|ZSS||1> ;S3;Strecke 3;0/00:00:00;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB fallend;3521;;True;PZB fallend;False;00:27:52;00:27:52;-;-;False;-;Betriebsstellengrenze 3521-0 - Gleisende 3521-0 (3521);1672;1672
0;PZB fallend;0/00:27:52;0/00:27:52;00:28;00:28;00:28;00:28;-;80,00;77,67;140,00;-;140,00;155,00;K;-;S3 30.000  ZB-Anfang, Fallend, PZB;;S3;Strecke 3;0/00:00:00;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB fallend;3521;;True;PZB fallend;False;00:27:52;00:27:52;-;-;False;-;Betriebsstellengrenze 3521-0 - Gleisende 3521-0 (3521);1672;1672
0;PZB fallend;0/00:27:52;0/00:27:52;00:28;00:28;00:28;00:28;-;80,00;77,67;80,00;-;80,00;155,00;K;-;S3 30.000  Geschwindigkeit Zulässig, Fallend, v=80km/h, Wirkung ab hier, Alle;;S3;Strecke 3;0/00:00:00;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB fallend;3521;;True;PZB fallend;False;00:27:52;00:27:52;-;-;False;-;Betriebsstellengrenze 3521-0 - Gleisende 3521-0 (3521);1672;1672
0;PZB fallend;0/00:27:52;0/00:27:52;00:28;00:28;00:28;00:28;-;80,00;77,67;80,00;-;80,00;130,00;K;-;S3 30.000  Bremsweg, Fallend, l=700m;;S3;Strecke 3;0/00:00:00;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB fallend;3521;;True;PZB fallend;False;00:27:52;00:27:52;-;-;False;-;Betriebsstellengrenze 3521-0 - Gleisende 3521-0 (3521);1672;1672
2750;PZB fallend;0/00:30:00;0/00:30:00;00:30;00:30;00:30;00:30;-;80,00;77,67;80,00;-;80,00;130,00;K;-;S3 27.250 Streckengleis Fahrzeitmesspunkt, Beide Richtungen, BS-Mitte;;S3;Strecke 3;0/00:02:03;00:30:00;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB fallend;3521;;True;PZB fallend;False;00:30:00;00:30:00;-;-;False;-;Betriebsstellengrenze 3521-0 - Gleisende 3521-0 (3521);1800;1800
5500;PZB fallend;0/00:32:07;0/00:32:07;00:32;00:32;00:32;00:32;-;80,00;77,67;80,00;-;80,00;130,00;K;-;S3 24.500 3521-0 Betriebsstellengrenze, =>VDV2 3521-0, Gleis 0;;S3;Strecke 3;0/00:04:07;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB fallend;3521;0;True;PZB fallend;False;00:32:07;00:32:07;-;-;False;-;Betriebsstellengrenze 3521-0 - Gleisende 3521-0 (3521);1927;1927
5500;PZB fallend;0/00:32:07;0/00:32:07;00:32;00:32;00:32;00:32;-;80,00;77,67;80,00;-;80,00;130,00;K;-;VDV2 24.500 3521-0 Betriebsstellengrenze, =>S3 3521-0, Gleis 0;;VDV2;VDV 2;0/00:04:07;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;VDV2: Strecke 3 - Gleis 1 - Strecke 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB fallend;3521;0;True;PZB fallend;False;00:32:07;00:32:07;-;-;False;-;Weiche 02W2 A - Betriebsstellengrenze 3521-0 (3521);1927;1927
6365;PZB fallend;0/00:32:47;0/00:32:47;00:33;00:33;00:33;00:33;-;80,00;77,67;80,00;-;80,00;130,00;K;-;VDV2 23.635 02Vf Vorsignal, Fallend, Fb=9s, Unbekannt; Ref(7065)=<VDV2|22,935/+0|HS|02F|1>  Anfang(6365)=<VDV2|23,635/+0|VS|02Vf|1> ;VDV2;VDV 2;0/00:04:46;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;VDV2: Strecke 3 - Gleis 1 - Strecke 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB fallend;3521;;True;PZB fallend;False;00:32:47;00:32:47;-;-;False;-;Weiche 02W2 A - Betriebsstellengrenze 3521-0 (3521);1967;1967
6390;PZB fallend;0/00:32:48;0/00:32:48;00:33;00:33;00:33;00:33;-;80,00;77,67;80,00;-;80,00;130,00;K;-;Zugsicherungs-Stützstelle;;VDV2;VDV 2;0/00:04:47;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;VDV2: Strecke 3 - Gleis 1 - Strecke 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB fallend;;;False;PZB fallend;False;00:32:48;00:32:48;-;-;False;-;-;1968;1968
6415;PZB fallend;0/00:32:49;0/00:32:49;00:33;00:33;00:33;00:33;-;80,00;77,67;80,00;-;80,00;130,00;K;-;Zugsicherungs-Stützstelle;;VDV2;VDV 2;0/00:04:48;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;VDV2: Strecke 3 - Gleis 1 - Strecke 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB fallend;;;False;PZB fallend;False;00:32:49;00:32:49;-;-;False;-;-;1969;1969
6440;PZB fallend;0/00:32:51;0/00:32:51;00:33;00:33;00:33;00:33;-;80,00;77,67;80,00;-;80,00;130,00;K;-;Zugsicherungs-Stützstelle;;VDV2;VDV 2;0/00:04:49;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;VDV2: Strecke 3 - Gleis 1 - Strecke 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB fallend;;;False;PZB fallend;False;00:32:51;00:32:51;-;-;False;-;-;1971;1971
6465;PZB fallend;0/00:32:52;0/00:32:52;00:33;00:33;00:33;00:33;-;80,00;77,67;80,00;-;80,00;130,00;K;-;Zugsicherungs-Stützstelle;;VDV2;VDV 2;0/00:04:50;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;VDV2: Strecke 3 - Gleis 1 - Strecke 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB fallend;;;False;PZB fallend;False;00:32:52;00:32:52;-;-;False;-;-;1972;1972
6490;PZB fallend;0/00:32:53;0/00:32:53;00:33;00:33;00:33;00:33;-;80,00;77,67;80,00;-;80,00;130,00;K;-;Zugsicherungs-Stützstelle;;VDV2;VDV 2;0/00:04:52;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;VDV2: Strecke 3 - Gleis 1 - Strecke 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB fallend;;;False;PZB fallend;False;00:32:53;00:32:53;-;-;False;-;-;1973;1973
6515;PZB fallend;0/00:32:54;0/00:32:54;00:33;00:33;00:33;00:33;-;80,00;77,67;80,00;-;80,00;130,00;K;-;Zugsicherungs-Stützstelle;;VDV2;VDV 2;0/00:04:53;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;VDV2: Strecke 3 - Gleis 1 - Strecke 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB fallend;;;False;PZB fallend;False;00:32:54;00:32:54;-;-;False;-;-;1974;1974
6540;PZB fallend;0/00:32:55;0/00:32:55;00:33;00:33;00:33;00:33;-;80,00;77,67;80,00;-;80,00;130,00;K;-;Zugsicherungs-Stützstelle;;VDV2;VDV 2;0/00:04:54;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;VDV2: Strecke 3 - Gleis 1 - Strecke 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB fallend;;;False;PZB fallend;False;00:32:55;00:32:55;-;-;False;-;-;1975;1975
6565;PZB fallend;0/00:32:56;0/00:32:56;00:33;00:33;00:33;00:33;-;80,00;77,67;80,00;-;80,00;130,00;K;-;Zugsicherungs-Stützstelle;;VDV2;VDV 2;0/00:04:55;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;VDV2: Strecke 3 - Gleis 1 - Strecke 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB fallend;;;False;PZB fallend;False;00:32:56;00:32:56;-;-;False;-;-;1976;1976
6590;PZB fallend;0/00:32:57;0/00:32:57;00:33;00:33;00:33;00:33;-;80,00;77,67;80,00;-;80,00;130,00;K;-;Zugsicherungs-Stützstelle;;VDV2;VDV 2;0/00:04:56;-;140,00;1,0000;1,030;-;-;54,0;118,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;VDV2: Strecke 3 - Gleis 1 - Strecke 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;PZB fallend;;;False;PZB fallend;False;00:32:57;00:32:57;-;-;False;-;-;1977;1977
