Zugstrecke;Teilzugname;Ist-Abfahrt;Ist-Ankunft;Ist-Abfahrt gerundet;Ist-Ankunft gerundet;Ist-Abfahrt abgerundet;Ist-Ankunft aufgerundet;Haltezeiten;v;vReal;vMax;vMaxZugsicherung;vMaxStrecke;vMaxBrH;Zustand;DynStatus;Infrastrukturelement;Referenzelemente;Betriebsstelle;Betriebsstelle Langname;Relative Abfahrtzeit;Soll-Abfahrt;VMaxZug;Zuschlag;Regelzuschlag;SonderZuschlag;BauZuschlag;Laenge;Masse;Zugbeeinflussung;Steigend;Entfernt;Verschoben;Besonderheit;Bogen;Neigung;Tunnelquerschnitt;Fahrweg;a;Zugkraft;WFZ;WTFZ;WStrecke;Gesamtzuschlag;Verspätungszuschlag;Zuschlagabbau;Triebfahrzeuge;Wagenanzahl;Zugfamilienname;Streckennummer;Gleis;Wirkt;Einzelzugname;ATO;Ist-Ankunft ohne Tag;Ist-Abfahrt ohne Tag;Haltezeit;Mindesthaltezeit;No-Stopping Zone;ETCS-Kurve für Belegung;Zwischenweichenabschnitt;Ist-Abfahrt in Sekunden;Ist-Ankunft in Sekunden
0;ETCS fallend;0/00:27:52;0/00:27:52;00:28;00:28;00:28;00:28;-;80,00;77,67;80,00;-;80,00;-;K;-;S3 30.000 3521-0 Gleisende; Ref(7065)=<VDV2|22,935/+0|HS|02F|1>  Anfang(7065)=<VDV2|22,935/+0|HS|02F|1>  Ende(7115)=<VDV2|22,885/+0|ZSS||1> ;S3;Strecke 3;0/00:00:00;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS fallend;3521;;True;ETCS fallend;False;00:27:52;00:27:52;-;-;False;-;Betriebsstellengrenze 3521-0 - Gleisende 3521-0 (3521);1672;1672
0;ETCS fallend;0/00:27:52;0/00:27:52;00:28;00:28;00:28;00:28;-;80,00;77,67;80,00;-;80,00;-;K;-;S3 30.000  ZB-Anfang, Fallend, ETCS1( DB Netz AG SRS 3.6.0  <ETCS 1 (FS) | ETCS 2>);;S3;Strecke 3;0/00:00:00;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS fallend;3521;;True;ETCS fallend;False;00:27:52;00:27:52;-;-;False;-;Betriebsstellengrenze 3521-0 - Gleisende 3521-0 (3521);1672;1672
0;ETCS fallend;0/00:27:52;0/00:27:52;00:28;00:28;00:28;00:28;-;80,00;77,67;80,00;-;80,00;-;K;-;S3 30.000  Geschwindigkeit Zulässig, Fallend, v=80km/h, Wirkung ab hier, Alle;;S3;Strecke 3;0/00:00:00;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS fallend;3521;;True;ETCS fallend;False;00:27:52;00:27:52;-;-;False;-;Betriebsstellengrenze 3521-0 - Gleisende 3521-0 (3521);1672;1672
25;ETCS fallend;0/00:27:53;0/00:27:53;00:28;00:28;00:28;00:28;-;80,00;77,67;80,00;-;80,00;-;K;-;ETCS-Stützstelle;;S3;Strecke 3;0/00:00:01;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS fallend;;;False;ETCS fallend;False;00:27:53;00:27:53;-;-;False;-;-;1673;1673
50;ETCS fallend;0/00:27:54;0/00:27:54;00:28;00:28;00:28;00:28;-;80,00;77,67;80,00;-;80,00;-;K;-;ETCS-Stützstelle;;S3;Strecke 3;0/00:00:02;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS fallend;;;False;ETCS fallend;False;00:27:54;00:27:54;-;-;False;-;-;1674;1674
75;ETCS fallend;0/00:27:56;0/00:27:56;00:28;00:28;00:28;00:28;-;80,00;77,67;80,00;-;80,00;-;K;-;ETCS-Stützstelle;;S3;Strecke 3;0/00:00:03;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS fallend;;;False;ETCS fallend;False;00:27:56;00:27:56;-;-;False;-;-;1676;1676
100;ETCS fallend;0/00:27:57;0/00:27:57;00:28;00:28;00:28;00:28;-;80,00;77,67;80,00;-;80,00;-;K;-;ETCS-Stützstelle;;S3;Strecke 3;0/00:00:04;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS fallend;;;False;ETCS fallend;False;00:27:57;00:27:57;-;-;False;-;-;1677;1677
125;ETCS fallend;0/00:27:58;0/00:27:58;00:28;00:28;00:28;00:28;-;80,00;77,67;80,00;-;80,00;-;K;-;ETCS-Stützstelle;;S3;Strecke 3;0/00:00:05;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS fallend;;;False;ETCS fallend;False;00:27:58;00:27:58;-;-;False;-;-;1678;1678
150;ETCS fallend;0/00:27:59;0/00:27:59;00:28;00:28;00:28;00:28;-;80,00;77,67;80,00;-;80,00;-;K;-;ETCS-Stützstelle;;S3;Strecke 3;0/00:00:06;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS fallend;;;False;ETCS fallend;False;00:27:59;00:27:59;-;-;False;-;-;1679;1679
175;ETCS fallend;0/00:28:00;0/00:28:00;00:28;00:28;00:28;00:28;-;80,00;77,67;80,00;-;80,00;-;K;-;ETCS-Stützstelle;;S3;Strecke 3;0/00:00:07;-;140,00;1,0000;1,030;-;-;54,0;118,0;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;S3: null - Strecke 3 - VDV 2;0,000000;42110,0;  0,0;4831,9;  0,0;1,030;1,00;1,00;"80 0622-19.0;";0;ETCS fallend;;;False;ETCS fallend;False;00:28:00;00:28:00;-;-;False;-;-;1680;1680
