Zugstrecke;Teilzugname;Ist-Abfahrt;Ist-Ankunft;Ist-Abfahrt gerundet;Ist-Ankunft gerundet;Ist-Abfahrt abgerundet;Ist-Ankunft aufgerundet;Haltezeiten;v;vReal;vMax;vMaxZugsicherung;vMaxStrecke;vMaxBrH;Zustand;DynStatus;Infrastrukturelement;Referenzelemente;Betriebsstelle;Betriebsstelle Langname;Relative Abfahrtzeit;Soll-Abfahrt;VMaxZug;Zuschlag;Regelzuschlag;SonderZuschlag;BauZuschlag;Laenge;Masse;Zugbeeinflussung;Steigend;Entfernt;Verschoben;Besonderheit;Bogen;Neigung;Tunnelquerschnitt;Fahrweg;a;Zugkraft;WFZ;WTFZ;WStrecke;Gesamtzuschlag;Verspätungszuschlag;Zuschlagabbau;Triebfahrzeuge;Wagenanzahl;Zugfamilienname;Streckennummer;Gleis;Wirkt;Einzelzugname;ATO;Ist-Ankunft ohne Tag;Ist-Abfahrt ohne Tag;Haltezeit;Mindesthaltezeit;No-Stopping Zone;ETCS-Kurve für Belegung;Zwischenweichenabschnitt;Ist-Abfahrt in Sekunden;Ist-Ankunft in Sekunden
0;FV Ri 2_L2;0/00:26:06;0/00:26:06;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;320,00;-;K;-;K B 102.880 GE-W7 Gleisende; Ref(1700)=<K B|101,180/+0|HS|F|1>  Anfang(1700)=<K B|101,180/+0|HS|F|1>  Ende(1900)=<K B|100,980/+0|ZSS||1> ;K B;Knoten B;0/00:00:00;-;160,00;1,0000;1,050;-;-;401,4;982,4;Konv;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 2_L2;0;;True;FV Ri 2_L2;False;00:26:06;00:26:06;-;-;False;-;Weiche W11 S - Gleisende GE-W7 (0);1566;1566
0;FV Ri 2_L2;0/00:26:06;0/00:26:06;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;320,00;-;K;-;K B 102.880  Punktbeeinflussung, Fallend, ETCS L1 FS, kennung=1; Ref(1700)=<K B|101,180/+0|HS|F|1> ;K B;Knoten B;0/00:00:00;-;160,00;1,0000;1,050;-;-;401,4;982,4;Konv;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 2_L2;0;;False;FV Ri 2_L2;False;00:26:06;00:26:06;-;-;False;-;Weiche W11 S - Gleisende GE-W7 (0);1566;1566
125;FV Ri 2_L2;0/00:26:09;0/00:26:09;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;320,00;-;K;-;BEP zu K B 101.180 F Hauptsignal, Fallend, DFa=3s, rs=20km/h, appr.=0km/h; Ref(1700)=<K B|101,180/+0|HS|F|1>  Anfang(125)=BEP zu <K B|101,180/+0|HS|F|1> ;K B;Knoten B;0/00:00:02;-;160,00;1,0000;1,050;-;-;401,4;982,4;Konv;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 2_L2;;;False;FV Ri 2_L2;False;00:26:09;00:26:09;-;-;False;Indication;-;1569;1569
680;FV Ri 2_L2;0/00:26:23;0/00:26:23;00:26;00:26;00:26;00:26;-;160,00;152,38;320,00;-;320,00;-;K;-;K B 102.200  ZB-Anfang, Fallend, ETCS1( DB Netz AG SRS 3.6.0  <ETCS 1 (FS) | ETCS 2>)/ETCS2( DB Netz AG SRS 3.6.0  <ETCS 1 (FS) | ETCS 2>);;K B;Knoten B;0/00:00:15;-;320,00;1,0000;1,050;-;-;401,4;982,4;ETCS L2;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 2_L2;0;;True;FV Ri 2_L2;False;00:26:23;00:26:23;-;-;False;-;Weiche W11 S - Gleisende GE-W7 (0);1583;1583
680;FV Ri 2_L2;0/00:26:23;0/00:26:23;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;160,00;-;K;-;K B 102.200 160 Geschwindigkeit Zulässig, Fallend, v=160km/h, Wirkung ab hier, Alle;;K B;Knoten B;0/00:00:15;-;320,00;1,0000;1,050;-;-;401,4;982,4;ETCS L2;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 2_L2;0;;True;FV Ri 2_L2;False;00:26:23;00:26:23;-;-;False;-;Weiche W11 S - Gleisende GE-W7 (0);1583;1583
700;FV Ri 2_L2;0/00:26:23;0/00:26:23;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;160,00;-;K;-;K B 102.180 Vf Vorsignal, Fallend, Fb=9s, Unbekannt; Ref(1700)=<K B|101,180/+0|HS|F|1> ;K B;Knoten B;0/00:00:15;-;320,00;1,0000;1,050;-;-;401,4;982,4;ETCS L2;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 2_L2;0;;False;FV Ri 2_L2;False;00:26:23;00:26:23;-;-;False;-;Weiche W11 S - Gleisende GE-W7 (0);1583;1583
725;FV Ri 2_L2;0/00:26:24;0/00:26:24;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;160,00;-;K;-;ETCS-Stützstelle;;K B;Knoten B;0/00:00:16;-;320,00;1,0000;1,050;-;-;401,4;982,4;ETCS L2;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 2_L2;;;False;FV Ri 2_L2;False;00:26:24;00:26:24;-;-;False;-;-;1584;1584
750;FV Ri 2_L2;0/00:26:24;0/00:26:24;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;160,00;-;K;-;ETCS-Stützstelle;;K B;Knoten B;0/00:00:16;-;320,00;1,0000;1,050;-;-;401,4;982,4;ETCS L2;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 2_L2;;;False;FV Ri 2_L2;False;00:26:24;00:26:24;-;-;False;-;-;1584;1584
775;FV Ri 2_L2;0/00:26:25;0/00:26:25;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;160,00;-;K;-;ETCS-Stützstelle;;K B;Knoten B;0/00:00:17;-;320,00;1,0000;1,050;-;-;401,4;982,4;ETCS L2;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 2_L2;;;False;FV Ri 2_L2;False;00:26:25;00:26:25;-;-;False;-;-;1585;1585
800;FV Ri 2_L2;0/00:26:25;0/00:26:25;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;160,00;-;K;-;ETCS-Stützstelle;;K B;Knoten B;0/00:00:18;-;320,00;1,0000;1,050;-;-;401,4;982,4;ETCS L2;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 2_L2;;;False;FV Ri 2_L2;False;00:26:25;00:26:25;-;-;False;-;-;1585;1585
