Zugstrecke;Teilzugname;Ist-Abfahrt;Ist-Ankunft;Ist-Abfahrt gerundet;Ist-Ankunft gerundet;Ist-Abfahrt abgerundet;Ist-Ankunft aufgerundet;Haltezeiten;v;vReal;vMax;vMaxZugsicherung;vMaxStrecke;vMaxBrH;Zustand;DynStatus;Infrastrukturelement;Referenzelemente;Betriebsstelle;Betriebsstelle Langname;Relative Abfahrtzeit;Soll-Abfahrt;VMaxZug;Zuschlag;Regelzuschlag;SonderZuschlag;BauZuschlag;Laenge;Masse;Zugbeeinflussung;Steigend;Entfernt;Verschoben;Besonderheit;Bogen;Neigung;Tunnelquerschnitt;Fahrweg;a;Zugkraft;WFZ;WTFZ;WStrecke;Gesamtzuschlag;Verspätungszuschlag;Zuschlagabbau;Triebfahrzeuge;Wagenanzahl;Zugfamilienname;Streckennummer;Gleis;Wirkt;Einzelzugname;ATO;Ist-Ankunft ohne Tag;Ist-Abfahrt ohne Tag;Haltezeit;Mindesthaltezeit;No-Stopping Zone;ETCS-Kurve für Belegung;Zwischenweichenabschnitt;Ist-Abfahrt in Sekunden;Ist-Ankunft in Sekunden
0;GV schnell Ri 2_PZB;0/00:28:12;0/00:28:12;00:28;00:28;00:28;00:28;-;100,00;96,15;100,00;-;100,00;-;K;-;K B 102.880 GE-W7 Gleisende; Ref(1700)=<K B|101,180/+0|HS|F|1>  Anfang(1700)=<K B|101,180/+0|HS|F|1>  Ende(1900)=<K B|100,980/+0|ZSS||1> ;K B;Knoten B;0/00:00:00;-;100,00;1,0000;1,040;-;-;500,0;1337,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;207360,0;87034,0;5528,6;  0,0;1,040;1,00;1,00;"80 6193-2.2;";32;GV schnell Ri 2_PZB;0;;True;GV schnell Ri 2_PZB;False;00:28:12;00:28:12;-;-;False;-;Weiche W11 S - Gleisende GE-W7 (0);1692;1692
680;GV schnell Ri 2_PZB;0/00:28:37;0/00:28:37;00:29;00:29;00:29;00:29;-;100,00;96,15;100,00;-;100,00;-;K;-;K B 102.200  ZB-Anfang, Fallend, PZB;;K B;Knoten B;0/00:00:24;-;100,00;1,0000;1,040;-;-;500,0;1337,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;207360,0;87034,0;5528,6;  0,0;1,040;1,00;1,00;"80 6193-2.2;";32;GV schnell Ri 2_PZB;0;;True;GV schnell Ri 2_PZB;False;00:28:37;00:28:37;-;-;False;-;Weiche W11 S - Gleisende GE-W7 (0);1717;1717
680;GV schnell Ri 2_PZB;0/00:28:37;0/00:28:37;00:29;00:29;00:29;00:29;-;100,00;96,15;100,00;-;100,00;-;K;-;K B 102.200 160 Geschwindigkeit Zulässig, Fallend, v=160km/h, Wirkung ab hier, Alle; Ref(1180)=<K B|102,200/+0|VZ|160|1> ;K B;Knoten B;0/00:00:24;-;100,00;1,0000;1,040;-;-;500,0;1337,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;207360,0;87034,0;5528,6;  0,0;1,040;1,00;1,00;"80 6193-2.2;";32;GV schnell Ri 2_PZB;0;;False;GV schnell Ri 2_PZB;False;00:28:37;00:28:37;-;-;False;-;Weiche W11 S - Gleisende GE-W7 (0);1717;1717
700;GV schnell Ri 2_PZB;0/00:28:38;0/00:28:38;00:29;00:29;00:29;00:29;-;100,00;96,15;100,00;-;100,00;-;K;-;K B 102.180 Vf Vorsignal, Fallend, Fb=9s, Unbekannt; Ref(1700)=<K B|101,180/+0|HS|F|1>  Anfang(700)=<K B|102,180/+0|VS|Vf|1> ;K B;Knoten B;0/00:00:25;-;100,00;1,0000;1,040;-;-;500,0;1337,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;207360,0;87034,0;5528,6;  0,0;1,040;1,00;1,00;"80 6193-2.2;";32;GV schnell Ri 2_PZB;0;;True;GV schnell Ri 2_PZB;False;00:28:38;00:28:38;-;-;False;-;Weiche W11 S - Gleisende GE-W7 (0);1718;1718
725;GV schnell Ri 2_PZB;0/00:28:39;0/00:28:39;00:29;00:29;00:29;00:29;-;100,00;96,15;100,00;-;100,00;-;K;-;Zugsicherungs-Stützstelle;;K B;Knoten B;0/00:00:26;-;100,00;1,0000;1,040;-;-;500,0;1337,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;207360,0;87034,0;5528,6;  0,0;1,040;1,00;1,00;"80 6193-2.2;";32;GV schnell Ri 2_PZB;;;False;GV schnell Ri 2_PZB;False;00:28:39;00:28:39;-;-;False;-;-;1719;1719
750;GV schnell Ri 2_PZB;0/00:28:40;0/00:28:40;00:29;00:29;00:29;00:29;-;100,00;96,15;100,00;-;100,00;-;K;-;Zugsicherungs-Stützstelle;;K B;Knoten B;0/00:00:27;-;100,00;1,0000;1,040;-;-;500,0;1337,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;207360,0;87034,0;5528,6;  0,0;1,040;1,00;1,00;"80 6193-2.2;";32;GV schnell Ri 2_PZB;;;False;GV schnell Ri 2_PZB;False;00:28:40;00:28:40;-;-;False;-;-;1720;1720
775;GV schnell Ri 2_PZB;0/00:28:41;0/00:28:41;00:29;00:29;00:29;00:29;-;100,00;96,15;100,00;-;100,00;-;K;-;Zugsicherungs-Stützstelle;;K B;Knoten B;0/00:00:27;-;100,00;1,0000;1,040;-;-;500,0;1337,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;207360,0;87034,0;5528,6;  0,0;1,040;1,00;1,00;"80 6193-2.2;";32;GV schnell Ri 2_PZB;;;False;GV schnell Ri 2_PZB;False;00:28:41;00:28:41;-;-;False;-;-;1721;1721
800;GV schnell Ri 2_PZB;0/00:28:42;0/00:28:42;00:29;00:29;00:29;00:29;-;100,00;96,15;100,00;-;100,00;-;K;-;Zugsicherungs-Stützstelle;;K B;Knoten B;0/00:00:28;-;100,00;1,0000;1,040;-;-;500,0;1337,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;207360,0;87034,0;5528,6;  0,0;1,040;1,00;1,00;"80 6193-2.2;";32;GV schnell Ri 2_PZB;;;False;GV schnell Ri 2_PZB;False;00:28:42;00:28:42;-;-;False;-;-;1722;1722
825;GV schnell Ri 2_PZB;0/00:28:43;0/00:28:43;00:29;00:29;00:29;00:29;-;100,00;96,15;100,00;-;100,00;-;K;-;Zugsicherungs-Stützstelle;;K B;Knoten B;0/00:00:29;-;100,00;1,0000;1,040;-;-;500,0;1337,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;207360,0;87034,0;5528,6;  0,0;1,040;1,00;1,00;"80 6193-2.2;";32;GV schnell Ri 2_PZB;;;False;GV schnell Ri 2_PZB;False;00:28:43;00:28:43;-;-;False;-;-;1723;1723
850;GV schnell Ri 2_PZB;0/00:28:43;0/00:28:43;00:29;00:29;00:29;00:29;-;100,00;96,15;100,00;-;100,00;-;K;-;Zugsicherungs-Stützstelle;;K B;Knoten B;0/00:00:30;-;100,00;1,0000;1,040;-;-;500,0;1337,0;PZB;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;207360,0;87034,0;5528,6;  0,0;1,040;1,00;1,00;"80 6193-2.2;";32;GV schnell Ri 2_PZB;;;False;GV schnell Ri 2_PZB;False;00:28:43;00:28:43;-;-;False;-;-;1723;1723
