MiZuFo für Strecke Mischverkehr generisch beide Richtungen;;

;;;;Nr.;1;2;3;4;5;6;7;8;9;10;
;;;;Richtung;1;1;1;1;1;2;2;2;2;2;
;;;;Gattung;ICE-W;DGS;DGS;RB;RE-D;ICE-W;DGS;DGS;RB;RE-D;
;;;;Zugnummer;FV Ri 1_L1 FS;GV langsam Ri 1_L1 FS;GV schnell Ri 1_L1 FS;NV langsam Ri 1_L1 FS;NV schnell Ri 1_L1 FS;FV Ri 2_L1 FS;GV langsam Ri 2_L1 FS;GV schnell Ri 2_L1 FS;NV langsam Ri 2_L1 FS;NV schnell Ri 2_L1 FS;
Nr.;Ri.;Gattung;Zugnummer;Anzahl;30;12;19;16;36;30;12;19;16;36;
1;1;ICE-W;FV Ri 1_L1 FS;30;04:54;02:24;02:24;02:33;02:33;---;---;---;---;---;
2;1;DGS;GV langsam Ri 1_L1 FS;12;09:40;03:52;11:10;05:53;08:30;---;---;---;---;---;
3;1;DGS;GV schnell Ri 1_L1 FS;19;07:40;03:09;03:28;04:36;06:55;---;---;---;---;---;
4;1;RB;NV langsam Ri 1_L1 FS;16;05:03;02:13;02:27;03:54;07:44;---;---;---;---;---;
5;1;RE-D;NV schnell Ri 1_L1 FS;36;02:21;02:13;02:13;03:37;03:54;---;---;---;---;---;
6;2;ICE-W;FV Ri 2_L1 FS;30;---;---;---;---;---;04:54;02:24;02:24;02:33;02:33;
7;2;DGS;GV langsam Ri 2_L1 FS;12;---;---;---;---;---;09:40;03:52;11:10;05:53;08:30;
8;2;DGS;GV schnell Ri 2_L1 FS;19;---;---;---;---;---;07:40;03:09;03:28;04:36;06:55;
9;2;RB;NV langsam Ri 2_L1 FS;16;---;---;---;---;---;05:04;02:13;02:27;03:54;07:44;
10;2;RE-D;NV schnell Ri 2_L1 FS;36;---;---;---;---;---;02:21;02:13;02:13;03:35;03:54;
