MiZuFo für Strecke Mischverkehr generisch beide Richtungen;;

;;;;Nr.;1;2;3;4;5;6;7;8;9;10;
;;;;Richtung;1;1;1;1;1;2;2;2;2;2;
;;;;Gattung;ICE-W;EZK;DGS;RB;DPN-D;ICE-W;EZK;DGS;RB;DPN-D;
;;;;Zugnummer;FV Ri 1_PZB;GV langsam Ri 1_PZB;GV schnell Ri 1_PZB;NV langsam Ri 1_PZB;NV schnell Ri 1_PZB;FV Ri 2_PZB;GV langsam Ri 2_PZB;GV schnell Ri 2_PZB;NV langsam Ri 2_PZB;NV schnell Ri 2_PZB;
Nr.;Ri.;Gattung;Zugnummer;Anzahl;30;12;19;16;36;30;12;19;16;36;
1;1;ICE-W;FV Ri 1_PZB;30;04:56;02:23;02:23;02:23;02:23;---;---;---;---;---;
2;1;EZK;GV langsam Ri 1_PZB;12;09:29;03:52;10:56;05:59;08:33;---;---;---;---;---;
3;1;DGS;GV schnell Ri 1_PZB;19;07:32;03:17;03:29;04:33;06:59;---;---;---;---;---;
4;1;RB;NV langsam Ri 1_PZB;16;05:00;02:31;02:31;03:55;07:43;---;---;---;---;---;
5;1;DPN-D;NV schnell Ri 1_PZB;36;02:34;02:32;02:32;03:41;03:57;---;---;---;---;---;
6;2;ICE-W;FV Ri 2_PZB;30;---;---;---;---;---;04:56;02:23;02:23;02:23;02:23;
7;2;EZK;GV langsam Ri 2_PZB;12;---;---;---;---;---;09:29;03:52;10:56;05:59;08:33;
8;2;DGS;GV schnell Ri 2_PZB;19;---;---;---;---;---;07:32;03:17;03:29;04:33;06:59;
9;2;RB;NV langsam Ri 2_PZB;16;---;---;---;---;---;05:00;02:31;02:31;03:55;07:43;
10;2;DPN-D;NV schnell Ri 2_PZB;36;---;---;---;---;---;02:34;02:32;02:32;03:41;03:57;
