Zugstrecke;Teilzugname;Ist-Abfahrt;Ist-Ankunft;Ist-Abfahrt gerundet;Ist-Ankunft gerundet;Ist-Abfahrt abgerundet;Ist-Ankunft aufgerundet;Haltezeiten;v;vReal;vMax;vMaxZugsicherung;vMaxStrecke;vMaxBrH;Zustand;DynStatus;Infrastrukturelement;Referenzelemente;Betriebsstelle;Betriebsstelle Langname;Relative Abfahrtzeit;Soll-Abfahrt;VMaxZug;Zuschlag;Regelzuschlag;SonderZuschlag;BauZuschlag;Laenge;Masse;Zugbeeinflussung;Steigend;Entfernt;Verschoben;Besonderheit;Bogen;Neigung;Tunnelquerschnitt;Fahrweg;a;Zugkraft;WFZ;WTFZ;WStrecke;Gesamtzuschlag;Verspätungszuschlag;Zuschlagabbau;Triebfahrzeuge;Wagenanzahl;Zugfamilienname;Streckennummer;Gleis;Wirkt;Einzelzugname;ATO;Ist-Ankunft ohne Tag;Ist-Abfahrt ohne Tag;Haltezeit;Mindesthaltezeit;No-Stopping Zone;ETCS-Kurve für Belegung;Zwischenweichenabschnitt;Ist-Abfahrt in Sekunden;Ist-Ankunft in Sekunden
0;FV Ri 1_L1 FS;0/00:26:23;0/00:26:23;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;320,00;-;K;-;K A -2.310 Ende 1 Gleisende; Ref(260)=<K A|-2,050/+0|LZ|029|0>ETCS  Anfang(260)=<K A|-2,050/+0|LZ|029|0>ETCS  Ende(310)=<K A|-2,000/+0|ZSS||0> ;K A;Knoten A;0/00:00:00;-;160,00;1,0000;1,050;-;-;401,4;982,4;Konv;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 1_L1 FS;0;;True;FV Ri 1_L1 FS;False;00:26:23;00:26:23;-;-;False;-;Gleisende Ende 1 - Weiche W02 S (0);1583;1583
0;FV Ri 1_L1 FS;0/00:26:23;0/00:26:23;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;320,00;-;K;-;K A -2.310  Punktbeeinflussung, Steigend, ETCS L1 FS, kennung=1; Ref(260)=<K A|-2,050/+0|LZ|029|0>ETCS ;K A;Knoten A;0/00:00:00;-;160,00;1,0000;1,050;-;-;401,4;982,4;Konv;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 1_L1 FS;0;;False;FV Ri 1_L1 FS;False;00:26:23;00:26:23;-;-;False;-;Gleisende Ende 1 - Weiche W02 S (0);1583;1583
0;FV Ri 1_L1 FS;0/00:26:23;0/00:26:23;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;320,00;-;K;-;BEP zu K A -2.050 029 ZB-Blockkennzeichen, Steigend, ETCS, Fb=9.00s, DFa=3s, rs=20km/h; Ref(260)=<K A|-2,050/+0|LZ|029|0>ETCS ;K A;Knoten A;0/00:00:00;-;160,00;1,0000;1,050;-;-;401,4;982,4;Konv;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 1_L1 FS;;;False;FV Ri 1_L1 FS;False;00:26:23;00:26:23;-;-;False;Indication;-;1583;1583
0;FV Ri 1_L1 FS;0/00:26:23;0/00:26:23;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;320,00;-;K;-;BEP zu K A -1.550 031 ZB-Blockkennzeichen, Steigend, ETCS, Fb=9.00s, DFa=3s, rs=-1km/h; Ref(760)=<K A|-1,550/+0|LZ|031|0>ETCS ;K A;Knoten A;0/00:00:00;-;160,00;1,0000;1,050;-;-;401,4;982,4;Konv;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 1_L1 FS;;;False;FV Ri 1_L1 FS;False;00:26:23;00:26:23;-;-;False;Indication;-;1583;1583
0;FV Ri 1_L1 FS;0/00:26:23;0/00:26:23;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;320,00;-;K;-;BEP zu K A -1.050 A Hauptsignal, Steigend, DFa=3s, rs=20km/h, appr.=0km/h; Ref(1260)=<K A|-1,050/+0|HS|A|0> ;K A;Knoten A;0/00:00:00;-;160,00;1,0000;1,050;-;-;401,4;982,4;Konv;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 1_L1 FS;;;False;FV Ri 1_L1 FS;False;00:26:23;00:26:23;-;-;False;Indication;-;1583;1583
110;FV Ri 1_L1 FS;0/00:26:25;0/00:26:25;00:26;00:26;00:26;00:26;-;160,00;152,38;320,00;-;320,00;-;K;-;K A -2.200  ZB-Anfang, Steigend, ETCS1( DB Netz AG SRS 3.6.0  <ETCS 1 (FS) | ETCS 2>)/ETCS2( DB Netz AG SRS 3.6.0  <ETCS 1 (FS) | ETCS 2>);;K A;Knoten A;0/00:00:02;-;320,00;1,0000;1,050;-;-;401,4;982,4;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 1_L1 FS;0;;True;FV Ri 1_L1 FS;False;00:26:25;00:26:25;-;-;False;-;Gleisende Ende 1 - Weiche W02 S (0);1585;1585
110;FV Ri 1_L1 FS;0/00:26:25;0/00:26:25;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;160,00;-;K;-;K A -2.200  Geschwindigkeit Abweichend, Steigend, v=160km/h, Wirkung ab hier, Alle, Ursache=, Zusatzbem.=;;K A;Knoten A;0/00:00:02;-;320,00;1,0000;1,050;-;-;401,4;982,4;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 1_L1 FS;0;;True;FV Ri 1_L1 FS;False;00:26:25;00:26:25;-;-;False;-;Gleisende Ende 1 - Weiche W02 S (0);1585;1585
135;FV Ri 1_L1 FS;0/00:26:26;0/00:26:26;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;160,00;-;K;-;ETCS-Stützstelle;;K A;Knoten A;0/00:00:03;-;320,00;1,0000;1,050;-;-;401,4;982,4;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 1_L1 FS;;;False;FV Ri 1_L1 FS;False;00:26:26;00:26:26;-;-;False;-;-;1586;1586
160;FV Ri 1_L1 FS;0/00:26:27;0/00:26:27;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;160,00;-;K;-;ETCS-Stützstelle;;K A;Knoten A;0/00:00:03;-;320,00;1,0000;1,050;-;-;401,4;982,4;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 1_L1 FS;;;False;FV Ri 1_L1 FS;False;00:26:27;00:26:27;-;-;False;-;-;1587;1587
185;FV Ri 1_L1 FS;0/00:26:27;0/00:26:27;00:26;00:26;00:26;00:26;-;160,00;152,38;160,00;-;160,00;-;K;-;ETCS-Stützstelle;;K A;Knoten A;0/00:00:04;-;320,00;1,0000;1,050;-;-;401,4;982,4;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;359999,9;  0,0;43045,3;  0,0;1,050;1,00;1,00;"80 5407-3.16;";0;FV Ri 1_L1 FS;;;False;FV Ri 1_L1 FS;False;00:26:27;00:26:27;-;-;False;-;-;1587;1587
