Zugstrecke;Teilzugname;Ist-Abfahrt;Ist-Ankunft;Ist-Abfahrt gerundet;Ist-Ankunft gerundet;Ist-Abfahrt abgerundet;Ist-Ankunft aufgerundet;Haltezeiten;v;vReal;vMax;vMaxZugsicherung;vMaxStrecke;vMaxBrH;Zustand;DynStatus;Infrastrukturelement;Referenzelemente;Betriebsstelle;Betriebsstelle Langname;Relative Abfahrtzeit;Soll-Abfahrt;VMaxZug;Zuschlag;Regelzuschlag;SonderZuschlag;BauZuschlag;Laenge;Masse;Zugbeeinflussung;Steigend;Entfernt;Verschoben;Besonderheit;Bogen;Neigung;Tunnelquerschnitt;Fahrweg;a;Zugkraft;WFZ;WTFZ;WStrecke;Gesamtzuschlag;Verspätungszuschlag;Zuschlagabbau;Triebfahrzeuge;Wagenanzahl;Zugfamilienname;Streckennummer;Gleis;Wirkt;Einzelzugname;ATO;Ist-Ankunft ohne Tag;Ist-Abfahrt ohne Tag;Haltezeit;Mindesthaltezeit;No-Stopping Zone;ETCS-Kurve für Belegung;Zwischenweichenabschnitt;Ist-Abfahrt in Sekunden;Ist-Ankunft in Sekunden
0;GV langsam Ri 2_L1 FS;0/00:27:59;0/00:27:59;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;K B 102.880 GE-W7 Gleisende; Ref(830)=<K B|102,050/+0|LZ|1130|1>ETCS  Anfang(830)=<K B|102,050/+0|LZ|1130|1>ETCS  Ende(880)=<K B|102,000/+0|ZSS||1> ;K B;Knoten B;0/00:00:00;-;90,00;1,0000;1,050;-;-;500,0;1088,2;Konv;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 2_L1 FS;0;;True;GV langsam Ri 2_L1 FS;False;00:27:59;00:27:59;-;-;False;-;Weiche W11 S - Gleisende GE-W7 (0);1679;1679
0;GV langsam Ri 2_L1 FS;0/00:27:59;0/00:27:59;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;BEP zu K B 102.050 1130 ZB-Blockkennzeichen, Fallend, ETCS, Fb=9.00s, DFa=3s, rs=20km/h; Ref(830)=<K B|102,050/+0|LZ|1130|1>ETCS ;K B;Knoten B;0/00:00:00;-;90,00;1,0000;1,050;-;-;500,0;1088,2;Konv;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 2_L1 FS;;;False;GV langsam Ri 2_L1 FS;False;00:27:59;00:27:59;-;-;False;Indication;-;1679;1679
0;GV langsam Ri 2_L1 FS;0/00:27:59;0/00:27:59;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;BEP zu K B 101.550 1132 ZB-Blockkennzeichen, Fallend, ETCS, Fb=9.00s, DFa=3s, rs=20km/h; Ref(1330)=<K B|101,550/+0|LZ|1132|1>ETCS ;K B;Knoten B;0/00:00:00;-;90,00;1,0000;1,050;-;-;500,0;1088,2;Konv;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 2_L1 FS;;;False;GV langsam Ri 2_L1 FS;False;00:27:59;00:27:59;-;-;False;Indication;-;1679;1679
437;GV langsam Ri 2_L1 FS;0/00:28:17;0/00:28:17;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;BEP zu K B 101.050 F Hauptsignal, Fallend, DFa=3s, rs=20km/h, appr.=0km/h; Ref(1830)=<K B|101,050/+0|HS|F|1> ;K B;Knoten B;0/00:00:17;-;90,00;1,0000;1,050;-;-;500,0;1088,2;Konv;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 2_L1 FS;;;False;GV langsam Ri 2_L1 FS;False;00:28:17;00:28:17;-;-;False;Indication;-;1697;1697
570;GV langsam Ri 2_L1 FS;0/00:28:22;0/00:28:22;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;K B 102.310  Punktbeeinflussung, Fallend, ETCS L1 FS, kennung=1; Ref(830)=<K B|102,050/+0|LZ|1130|1>ETCS ;K B;Knoten B;0/00:00:22;-;90,00;1,0000;1,050;-;-;500,0;1088,2;Konv;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 2_L1 FS;0;;False;GV langsam Ri 2_L1 FS;False;00:28:22;00:28:22;-;-;False;-;Weiche W11 S - Gleisende GE-W7 (0);1702;1702
680;GV langsam Ri 2_L1 FS;0/00:28:27;0/00:28:27;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;K B 102.200  ZB-Anfang, Fallend, ETCS1( DB Netz AG SRS 3.6.0  <ETCS 1 (FS) | ETCS 2>)/ETCS2( DB Netz AG SRS 3.6.0  <ETCS 1 (FS) | ETCS 2>);;K B;Knoten B;0/00:00:27;-;90,00;1,0000;1,050;-;-;500,0;1088,2;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 2_L1 FS;0;;True;GV langsam Ri 2_L1 FS;False;00:28:27;00:28:27;-;-;False;-;Weiche W11 S - Gleisende GE-W7 (0);1707;1707
680;GV langsam Ri 2_L1 FS;0/00:28:27;0/00:28:27;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;K B 102.200 160 Geschwindigkeit Zulässig, Fallend, v=160km/h, Wirkung ab hier, Alle; Ref(1200)=<K B|102,200/+0|VZ|160|1> ;K B;Knoten B;0/00:00:27;-;90,00;1,0000;1,050;-;-;500,0;1088,2;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 2_L1 FS;0;;False;GV langsam Ri 2_L1 FS;False;00:28:27;00:28:27;-;-;False;-;Weiche W11 S - Gleisende GE-W7 (0);1707;1707
705;GV langsam Ri 2_L1 FS;0/00:28:28;0/00:28:28;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;ETCS-Stützstelle;;K B;Knoten B;0/00:00:28;-;90,00;1,0000;1,050;-;-;500,0;1088,2;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 2_L1 FS;;;False;GV langsam Ri 2_L1 FS;False;00:28:28;00:28:28;-;-;False;-;-;1708;1708
730;GV langsam Ri 2_L1 FS;0/00:28:29;0/00:28:29;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;ETCS-Stützstelle;;K B;Knoten B;0/00:00:29;-;90,00;1,0000;1,050;-;-;500,0;1088,2;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 2_L1 FS;;;False;GV langsam Ri 2_L1 FS;False;00:28:29;00:28:29;-;-;False;-;-;1709;1709
755;GV langsam Ri 2_L1 FS;0/00:28:30;0/00:28:30;00:29;00:29;00:29;00:29;-;90,00;85,71;90,00;-;90,00;-;K;-;ETCS-Stützstelle;;K B;Knoten B;0/00:00:30;-;90,00;1,0000;1,050;-;-;500,0;1088,2;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 2_L1 FS;;;False;GV langsam Ri 2_L1 FS;False;00:28:30;00:28:30;-;-;False;-;-;1710;1710
780;GV langsam Ri 2_L1 FS;0/00:28:31;0/00:28:31;00:29;00:29;00:29;00:29;-;90,00;85,71;90,00;-;90,00;-;K;-;ETCS-Stützstelle;;K B;Knoten B;0/00:00:31;-;90,00;1,0000;1,050;-;-;500,0;1088,2;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 2_L1 FS;;;False;GV langsam Ri 2_L1 FS;False;00:28:31;00:28:31;-;-;False;-;-;1711;1711
805;GV langsam Ri 2_L1 FS;0/00:28:32;0/00:28:32;00:29;00:29;00:29;00:29;-;90,00;85,71;90,00;-;90,00;-;K;-;ETCS-Stützstelle;;K B;Knoten B;0/00:00:32;-;90,00;1,0000;1,050;-;-;500,0;1088,2;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 2_L1 FS;;;False;GV langsam Ri 2_L1 FS;False;00:28:32;00:28:32;-;-;False;-;-;1712;1712
830;GV langsam Ri 2_L1 FS;0/00:28:33;0/00:28:33;00:29;00:29;00:29;00:29;-;90,00;85,71;90,00;-;90,00;-;K;-;ETCS-Stützstelle;;K B;Knoten B;0/00:00:33;-;90,00;1,0000;1,050;-;-;500,0;1088,2;ETCS L1;False;False;0;-; 0,0; 0,0; 0,0;K B: F - Gl 3 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 2_L1 FS;;;False;GV langsam Ri 2_L1 FS;False;00:28:33;00:28:33;-;-;False;-;-;1713;1713
